id,title,authors,year,venue,source_db,search_string,v1_decision,v1_reason
1,Automated Test Case Generation for Software APIs Using Reinforcement Learning,N Wang,2026,,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC7: Thesis (NCI Dublin), not peer-reviewed"
2,Enhancing Automated Unit Test Generation with Large Language Models: A Systematic Literature Review,"J Zhang, X Hu, C Gao, X Xia, S Li",2026,ACM Transactions on Software …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"IC5: SLR, no original experiment"
3,Design and implementation of a full stack automated software testing platform based on large language models,R Zhang,2026,,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC7: Thesis (LUT), not peer-reviewed"
4,Automating Software and Vulnerability Testing in REST APIs with Large Language Models,D Strauß,2025,,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC7: Thesis (TU Wien), not peer-reviewed"
5,Automated REST API Black-box Test Generation in Practice: An Experience Report from Industry,"D Corradini, SY Shin, D Bianculli",,19th IEEE International Conference on …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",INCLUDE,IC1-IC5: REST API + LLM + test generation + empirical
6,RESTestBench: A Benchmark for Evaluating the Effectiveness of LLM-Generated REST API Test Cases from NL Requirements,"L Kogler, S Hangler, M Ehrhart, B Dornauer…",2026,arXiv preprint arXiv …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",Unsure,Cần đọc full-text để xác nhận scope và kết quả thực nghiệm
7,Exploring LLM-Powered Software Testing: A Study on Multi-Agent Systems for REST APIs,E Sidiropoulos,2025,,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC7: Thesis (Univ. Gothenburg), not peer-reviewed"
8,MASTEST: A LLM-Based Multi-Agent System For RESTful API Tests,"X Han, H Zhu",2025,arXiv preprint arXiv:2511.18038,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",INCLUDE,IC1-IC5: REST API + LLM + test generation + empirical
9,Automating rest api postman test cases using llm,"SD Sri, RCSP Raman, G Rajagopal, ST Chan",2024,arXiv preprint arXiv …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",INCLUDE,IC1-IC5: REST API + LLM + test generation + empirical
10,"A Comparative Survey of Mutation Testing Across Large Language Models, REST APIs, and Database Engines","B Falah, H Routaib",2025,"IEEE 16th Annual Information …, 2025",Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"IC5: Survey, no original experiment"
11,Evaluating LLMs on Sequential API Call Through Automated Test Generation,"Y Huang, J Song, D Song, Z Ji, W Wang…",2025,arXiv preprint arXiv …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC4: Evaluates LLM on API calls, not test generation"
12,Systematic Literature Review: RESTful API Testing Using Machine Learning Techniques,"BA Otieno, E Araka",2025,… of the Kenya National Commission for …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"IC5: SLR, no original experiment"
13,Assessing REST API Test Generation Strategies with Log Coverage,"N Reinikainen, M Mäntylä, Y Wang",2026,arXiv preprint arXiv:2604.07073,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",INCLUDE,IC1-IC5: REST API + LLM + test generation + empirical
14,A quantized LLM driven framework for automated software testing,R Ahmed,2026,,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC7: Thesis (LUT), not peer-reviewed"
15,Leveraging large language models to improve rest api testing,"M Kim, T Stennett, D Shah, S Sinha…",2024,"… of the ACM/IEEE 44th …, 2024",Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",INCLUDE,IC1-IC5: REST API + LLM + test generation + empirical
16,You can rest now: Automated specification inference and black-box testing of restful apis with large language models,"A Decrop, G Perrouin, M Papadakis, X Devroey…",2024,,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",Unsure,Cần đọc full-text để xác nhận scope và kết quả thực nghiệm
17,Mutation-guided unit test generation with a large language model,"G Wang, Q Xu, L Briand, K Liu",2026,IEEE Transactions on Software …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC4: Unit test generation, not REST API"
18,Combining TSL and LLM to Automate REST API Testing: A Comparative Study,"T Barradas, A Paes, VO Neves",2025,arXiv preprint arXiv:2509.05540,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",INCLUDE,IC1-IC5: REST API + LLM + test generation + empirical
19,TestGPT-Server: Automatically Testing Microservices with Large Language Models at ByteDance,"J Wang, S Chen, Y Liu, Y Deng, L Zhang…",2025,Proceedings of the 33rd …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",Unsure,Cần đọc full-text để xác nhận scope và kết quả thực nghiệm
20,FailMapper: Automated Generation of Unit Tests Guided by Failure Scenarios,"R Dong, Z Deng, X Zhu, X Du, H Liu…",2025,"40th IEEE/ACM …, 2025",Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC4: Unit test generation, not REST API"
21,"AI-Powered Unit Test Generation via Multi-LLM Chaining: A Case Study With GPT-4o, Gemini, and Claude-3.5","C Kumar, US Ponaka, PVLN Naidu…",2025,IEEE …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC4: Unit test generation, not REST API"
22,Kat: Dependency-aware automated api testing with large language models,"T Le, T Tran, D Cao, V Le, TN Nguyen…",2024,… IEEE Conference on …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",INCLUDE,IC1-IC5: REST API + LLM + test generation + empirical
23,Open API Testing Using Large Language Models and Prompt Engineering,"PTT Kyaw, A Luangsodsai…",2025,"22nd International …, 2025",Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",INCLUDE,IC1-IC5: REST API + LLM + test generation + empirical
24,Effective Automation of Black-Box Testing for REST APIs with Machine Learning and Language Models,M Kim,2025,,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC7: Dissertation (Georgia Tech), not peer-reviewed"
25,Llamaresttest: Effective rest api testing with small language models,"M Kim, S Sinha, A Orso",2025,Proceedings of the ACM on Software …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",INCLUDE,IC1-IC5: REST API + LLM + test generation + empirical
26,Large Language Model (LLM)-Based Automation for Software Test Script Generation,S Kavuri,2022,Computer Fraud & Security,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC4: General test scripts, not REST API"
27,Automated web application testing based on artificial intelligence,"O Darii, M Beldiga, T Bragaru",2025,Journal of Engineering Science,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,EC4: General web app testing
28,Test amplification for rest apis via single and multi-agent llm systems,"R Nooyens, T Bardakci, M Beyazıt…",2025,… Conference on Testing …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC6: About test AMPLIFICATION, not generation"
29,An LLM-Powered API Testing Framework Based on Structural Similarity Analysis,"A Sezgin, T Kocatekin…",2026,"14th International …, 2026",Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC6: About testing framework design, not generation"
30,APITestGenie: Generating Web API Tests from Requirements and API Specifications with LLMs,"A Pereira, B Lima, JP Faria",2026,arXiv preprint arXiv:2604.02039,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",INCLUDE,IC1-IC5: REST API + LLM + test generation + empirical
31,Deeprest: Automated test case generation for rest apis exploiting deep reinforcement learning,"D Corradini, Z Montolli, M Pasqua…",2024,Proceedings of the 39th …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",INCLUDE,IC1-IC5: REST API + LLM + test generation + empirical
32,"Systematic Mapping of Empirical Research on LLM-based Test Generation: Research Gaps, Methodologies, and Emerging Trends","J Marques Prates, BOC Jimez, SM Melo…",,"… , and Emerging Trends",Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"IC5: Systematic mapping, no experiment"
33,Lrasgen: Llm-based restful api specification generation,"S Deng, R Huang, M Zhang, C Cui, D Towey…",2025,ACM Transactions on …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,EC5: About API specification generation
34,MUATC: Multi-Agent Utilization to Augment Test Coverage,"T Ma, S Liu, W Dong, J Liu…",2025,"32nd Asia-Pacific …, 2025",Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC4: Unit test coverage, not REST API"
35,REST API Fuzzing Using API Dependencies and Large Language Models,"CH Liu, SL Chen, KY Li",2026,Engineering Proceedings,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",Unsure,Cần đọc full-text để xác nhận scope và kết quả thực nghiệm
36,A Multi-Agent Collaborative Framework for API Automated Testing Based on Large Language Models,B Malema,2026,Data Systems and Intelligence Quarterly,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,EC7: Questionable venue (callpress.org)
37,Dyner: Optimized test case generation for representational state transfer (rest) ful application programming interface (api) fuzzers guided by dynamic error …,"J Chen, Y Chen, Z Pan, Y Chen, Y Li, Y Li, M Zhang…",2024,Electronics,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",INCLUDE,IC1-IC5: REST API + LLM + test generation + empirical
38,Generating REST API Tests With Descriptive Names,"P Garrett, JP Galeotti, A Arcuri, A Poth…",2025,arXiv preprint arXiv …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC6: About test NAMING, not generation"
39,OpenAI for OpenAPI: Automated generation of REST API specification via LLMs,"H Chen, Y Li, C Chen, F Lin, W Li",2026,arXiv preprint arXiv:2601.12735,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,EC5: About API specification generation
40,A framework for testing and adapting rest apis as llm tools,"J Bandlamudi, R Chaudhuri, N Gantayat…",2025,arXiv preprint arXiv …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC4: REST APIs AS LLM tools, reverse direction"
41,Restless: Enhancing state-of-the-art rest api fuzzing with llms in cloud service computing,"T Zheng, J Shao, J Dai, S Jiang…",2024,IEEE Transactions on …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",INCLUDE,IC1-IC5: REST API + LLM + test generation + empirical
42,Beyond Coverage: Automatic Test Suite Augmentation for Enhanced Effectiveness using Large Language Models,"Z Lu, P Zhang, Y Nie, Y Yang, Y Tang…",2026,Proceedings of the …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,EC4: Java unit test augmentation
43,From Requirements to Executable Tests: LLM-Based System Test Generation for REST APIs,"J Kochanovskis, A Slotkienė",2026,Vilnius University Open Series,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",Unsure,Cần đọc full-text để xác nhận scope và kết quả thực nghiệm
44,LLM-assisted Mutation for Whitebox API Testing,"J Li, J Shen, Y Su, MR Lyu",2025,arXiv preprint arXiv:2504.05738,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",INCLUDE,IC1-IC5: REST API + LLM + test generation + empirical
45,Leveraging large language models for automated end-to-end testing: an empirical analysis of automated testing tools through experiments,S Ihegbu,2026,,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC7: Thesis (LUT), not peer-reviewed"
46,Generalizing Test Cases for Comprehensive Test Scenario Coverage,"B Qi, Y Lin, X Weng, C Liu, H Sun, G Fraser…",2026,arXiv preprint arXiv …,Google Scholar,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")",EXCLUDE,"EC4: General test scenarios, not REST API"
